_id,ltable_a_id,rtable_person_id,ltable_a_name,ltable_a_country,ltable_a_city,ltable_a_prov,ltable_a_web,rtable_a_name,rtable_a_country,rtable_a_city,rtable_a_prov,rtable_a_email_server,gold_label
672,2735,25596,china university science technology,taiwan,taipei,,http://www.cust.edu.tw/,national pingtung university science and technology,taiwan,pingtung,taiwan,npust,0
686,2805,48827,chulalongkorn university,thailand,bangkok,,http://www.chula.ac.th,chulalongkorn university,thailand,bangkok,,chula,0
710,2840,9168,city university hong kong,hong kong,hong kong,hong kong sar,http://www.cityu.edu.hk,city university hong kong,hong kong,hong kong,hong kong,cityu,0
774,3022,6613,notre dame maryland university,united states,baltimore,maryland,http://www.ndm.edu/,university maryland,united states,college park,maryland,umd,0
777,3022,15021,notre dame maryland university,united states,baltimore,maryland,http://www.ndm.edu/,university maryland university college,united states,adelphi,maryland,umuc,0
839,3081,2116,columbia university city new york,united states,new york,new york,http://www.columbia.edu,baruch college city university new york,united states,new york,new york,cuny,0
843,3125,52045,concordia university,canada,montreal,quebec,http://www.concordia.ca,concordia university,canada,montreal,qc,concordia,0
848,3128,51696,concordia university chicago,united states,river forest,illinois,http://www.cuchicago.edu/,university chicago,united states,chicago,illinois,chicagobooth,0
857,3129,58037,concordia university college alberta,canada,edmonton,alberta,http://concordia.ab.ca,university alberta,canada,edmonton,alberta,ualberta,0
895,3244,36036,cornell university,united states,ithaca,new york,http://www.cornell.edu,cornell university,united states,ithaca,new york,cornell,0
935,3779,54551,dixie state college utah,united states,saint george,utah,http://www.dixie.edu,utah state university,united states,logan,utah,gmail,0
937,3779,58358,dixie state college utah,united states,saint george,utah,http://www.dixie.edu,university utah,united states,salt lake city,utah,utah,0
939,3854,31362,dongguk university los angeles,united states,los angeles,california,http://dula.edu/,university california los angeles,united states,los angeles,california,ucla,0
949,3908,1902,drexel university,united states,philadelphia,pennsylvania,http://www.drexel.edu,drexel university,united states,philadelphia,pennsylvania,drexel,0
958,3918,54042,university cooperative education baden wurttemberg,germany,stuttgart,baden-wurttemberg,http://www.dhbw.de,baden wuerttemberg cooperative state university,germany,stuttgart,,dhbw,0
1016,3968,1019,eastern michigan university,united states,ypsilanti,michigan,http://www.emich.edu,eastern michigan university,united states,ypsilanti,michigan,emich,0
1018,3968,3990,eastern michigan university,united states,ypsilanti,michigan,http://www.emich.edu,university michigan,united states,ann arbor,michigan,umich,0
1053,4210,31019,swiss federal institute technology lausanne,switzerland,lausanne,,http://www.epfl.ch,university lausanne,switzerland,lausanne,vaud,unil,0
1057,4210,16302,swiss federal institute technology lausanne,switzerland,lausanne,,http://www.epfl.ch,university lausanne,switzerland,lausanne,,gmail,0
1068,4380,55974,edhec business school,france,roubaix,cedex 1,http://www.edhec.com,edhec business school,france,roubaix,,edhec,0
1078,4381,44912,edinboro university pennsylvania,united states,edinboro,pennsylvania,http://www.edinboro.edu,university pennsylvania,united states,philadelphia,pennsylvania,upenn,0
1089,4439,50621,swiss federal institute technology zurich,switzerland,zurich,,http://www.ethz.ch,university zurich,switzerland,zurich,zurich,uzh,0
1107,4508,54230,erasmus university rotterdam,netherlands,rotterdam,,http://www.eur.nl,erasmus university rotterdam,netherlands,rotterdam,zuid-holland,rsm,0
1124,4508,48099,erasmus university rotterdam,netherlands,rotterdam,,http://www.eur.nl,erasmus university rotterdam,netherlands,rotterdam,,rsm,0
1127,4508,21986,erasmus university rotterdam,netherlands,rotterdam,,http://www.eur.nl,erasmus university rotterdam,netherlands,rotterdam,,rsm,0
1155,4612,11742,escp europe paris,france,paris,cedex 11,http://www.escp-eap.eu/campus/paris/,escp europe,france,paris,fr,escpeurope,0
1257,4960,58824,university applied sciences eastern switzerland,switzerland,st. gallen,,http://www.fho.ch,zurich university applied sciences,switzerland,winterthur,,zhaw,0
1259,4965,4798,university applied sciences schmalkalden,germany,schmalkalden,,http://www.fh-schmalkalden.de,carinthia university applied sciences,germany,aichtal neuenhaus,,cti,0
1261,4968,4798,stralsund university applied sciences,germany,stralsund,,http://www.fh-stralsund.de,carinthia university applied sciences,germany,aichtal neuenhaus,,cti,0
1282,5472,8713,faculty saint benedict rio de janeiro,brazil,rio de janeiro,rj,http://www.faculdadesaobento.org.br,pontificia university catolica de rio de janeiro,brazil,rio de janeiro,rj,puc-rio,0
1321,6371,2013,florida gulf coast university,united states,fort myers,florida,http://www.fgcu.edu,florida gulf coast university,united states,estero,florida,fgcu,0
1338,6374,2033,florida international university,united states,miami,florida,http://www.fiu.edu,florida international university,united states,miami,florida,fiu,0
1360,6378,35132,florida state university,united states,tallahassee,florida,http://www.fsu.edu,university florida,united states,gainesville,florida,ufl,0
1371,6431,7344,friedrich schiller university jena,germany,jena,,http://www.uni-jena.de,friedrich schiller university jena,germany,jena,thuringia,uni-jena,0
1435,6624,55490,georgia southwestern state university,united states,americus,georgia,http://www.gsw.edu,university georgia,united states,athens,georgia,uga,0
1442,6625,13712,georgia state university,united states,atlanta,georgia,http://www.gsu.edu,georgia state university,united states,atlanta,georgia,gsu,0
1463,6740,58895,state university higher school economics,russian federation,moskva,,http://www.hse.ru,nru higher school economics,russian federation,moscow,,gmail,0
1469,6780,2996,greensboro college,united states,greensboro,north carolina,http://www.gborocollege.edu,university north carolina greensboro,united states,greensboro,north carolina,uncg,0
1511,6934,58458,hafencity university hamburg,germany,hamburg,,http://www.hcu-hamburg.de,university hamburg,germany,hamburg,,uni-hamburg,0
1577,7011,57924,harbin institute technology,china,harbin,heilongjiang province,http://www.hit.edu.cn,harbin institute technology,china,harbin,heilongjia,gmail,0
1579,7016,58401,harbin university science technology,china,harbin,heilongjiang province,http://www.hrbust.edu.cn/,huazhong university science technology,china,wuhan,,gmail,0
1592,7039,3206,harvard university,united states,cambridge,massachusetts,http://www.harvard.edu,harvard university,united states,boston,massachusetts,hbs,0
1617,7039,55336,harvard university,united states,cambridge,massachusetts,http://www.harvard.edu,harvard kennedy school,united states,cambridge,massachusetts,harvard,0
1652,7154,51559,heilongjiang university finance economics,china,harbin,heilongjiang,http://www.hfu.edu.cn/,shanghai university finance and economics,china,shanghai,,shufe,0
1699,7381,4798,esslingen university applied sciences,germany,esslingen,,http://www.hs-esslingen.de,carinthia university applied sciences,germany,aichtal neuenhaus,,cti,0
1754,7438,4798,harz university applied sciences,germany,wernigerode,,http://www.hs-harz.de/,carinthia university applied sciences,germany,aichtal neuenhaus,,cti,0
1762,7446,47074,mannheim university applied sciences,germany,mannheim,baden-wurttemberg,http://www.hs-mannheim.de,university mannheim,germany,mannheim,,uni-mannheim,0
1796,7464,58597,weihenstephan triesdorf university applied sciences,germany,freising,,http://www.hswt.de,bits university applied sciences,germany,iserlohn,,bits-iserlohn,0
1866,7560,2496,hong kong shue yan university,hong kong,hong kong,,http://www.hksyu.edu/,city university hong kong,hong kong,,,cityu,0
1885,7560,19695,hong kong shue yan university,hong kong,hong kong,,http://www.hksyu.edu/,hong kong polytechnic university,hong kong,kowloon,,polyu,0
1922,7644,55997,hunan university finance economics,china,changsha,hu,http://www.hufe.edu.cn/,southwestern university finance economics,china,chengdu,sichuan,gmail,0
1930,7646,44072,hunan university science technology,china,xiangtan,hu province,http://www.hnust.cn,university electronic science and technology china,china,chengdu,"sichuan,",gmail,0
1932,7657,52658,university western ontario huron university college,canada,london,ontario,http://huronuc.ca/,university western ontario,canada,london,on,ivey,0
1933,7657,59040,university western ontario huron university college,canada,london,ontario,http://huronuc.ca/,university western ontario,canada,london,on,uwo,0
1952,7713,57719,ie university,spain,segovia,,http://www.ie.edu/es/universidad/home,ie business school,spain,madrid,madrid,gmail,0
1991,7735,380,illinois state university,united states,normal,illinois,http://www.ilstu.edu,illinois state university,united states,normal,illinois,ilstu,0
1995,7755,46181,imperial college london,united kingdom,london,,http://www.imperial.ac.uk,imperial college london,united kingdom,london,uk,imperial,0
2007,7766,58566,indian institute management ahmedabad,india,ahmedabad,gujarat,http://www.iimahd.ernet.in,indian institute management ahmedabad,india,ahmedabad,gujarat,ernet,0
2037,7768,25307,indian institute management calcutta,india,calcutta,west bengal,http://www.iimcal.ac.in/,indian institute management calcutta,india,kolkata,west bengal,iimcal,0
2134,7797,14215,indiana state university,united states,terre haute,indiana,http://www.indstate.edu,indiana university,united states,bloomington,indiana,indiana,0
2145,7798,4843,indiana university bloomington,united states,bloomington,indiana,http://www.indiana.edu,indiana university,united states,indianapolis,indiana,iu,0
2150,7798,57039,indiana university bloomington,united states,bloomington,indiana,http://www.indiana.edu,indiana university bloomington,united states,bloomington,indiana,indiana,0
2155,7799,4102,indiana university east,united states,richmond,indiana,http://www.iue.indiana.edu,indiana university bloomington,united states,bloomington,indiana,indiana,0
2162,7799,14215,indiana university east,united states,richmond,indiana,http://www.iue.indiana.edu,indiana university,united states,bloomington,indiana,indiana,0
2165,7799,57039,indiana university east,united states,richmond,indiana,http://www.iue.indiana.edu,indiana university bloomington,united states,bloomington,indiana,indiana,0
2167,7801,2689,indiana university pennsylvania,united states,indiana,pennsylvania,http://www.iup.edu,university pennsylvania,united states,philadelphia,pennsylvania,upenn,0
2197,7804,44447,indiana university purdue university fort wayne,united states,fort wayne,indiana,http://www.ipfw.edu,indiana university,united states,bloomington,indiana,indiana,0
2261,9000,53714,isg business economics school,portugal,lisboa,,http://www.isg.pt,nova school business and economics,portugal,lisboa,,novasbe,0
2266,9337,50239,iscte university institute lisbon,portugal,lisboa,,http://www.iscte.pt,iscte lisbon university institute,portugal,lisboa,,iscte,0
2267,9337,55281,iscte university institute lisbon,portugal,lisboa,,http://www.iscte.pt,iscte lisbon university institute,portugal,lisboa,,iscte,0
2300,9657,54823,istanbul culture university,turkey,istanbul,,http://www.iku.edu.tr,istanbul university,turkey,istanbul,,istanbul,0
2346,9933,35899,jinwen university science technology,taiwan,taipei,,http://www.just.edu.tw/,ministry science and technology,taiwan,taipei,,ntu,0
2356,9957,52386,johannes kepler university linz,austria,linz,upper austria,http://www.jku.at,johannes kepler university,austria,linz,,jku,0
2369,10009,56335,justice institute british columbia,canada,new westminster,british columbia,http://www.jibc.ca/,university british columbia,canada,vancouver,bc,ubc,0
2392,10113,182,kansas state university,united states,manhattan,kansas,http://www.k-state.edu/,university kansas,united states,lawrence,kansas,ku,0
2395,10113,58354,kansas state university,united states,manhattan,kansas,http://www.k-state.edu/,university kansas,united states,lawrence,kansas,ku,0
2502,10533,14942,korea university,south korea,seoul,,http://www.korea.edu,korea university,south korea,seoul,,korea,0
2541,10694,30035,kyoto university,japan,kyoto shi,kyoto,http://www.kyoto-u.ac.jp/en,kyoto university,japan,kyoto,6068501,nifty,0
2542,10694,6537,kyoto university,japan,kyoto shi,kyoto,http://www.kyoto-u.ac.jp/en,kyoto university,japan,kyoto,,kyoto-u,0
2552,10702,25143,kyoto koka women s university,japan,kyoto shi,kyoto,http://www.koka.ac.jp,kyoto university,japan,kyoto,kyoto,kyoto-u,0
2567,10710,25143,kyoto pharmaceutical university,japan,kyoto shi,kyoto,http://www.kyoto-phu.ac.jp,kyoto university,japan,kyoto,kyoto,kyoto-u,0
2574,10745,55477,university copenhagen,denmark,kobenhavn k,,http://www.ku.dk,copenhagen business school,denmark,frederiksberg,,cbs,0
2586,10745,27607,university copenhagen,denmark,kobenhavn k,,http://www.ku.dk,copenhagen business school,denmark,copenhagen,,cbs,0
2618,10831,6928,lancaster university,united kingdom,lancaster,,http://www.lancs.ac.uk,lancaster university,united kingdom,lancaster,,lancaster,0
2653,10909,58824,les roches gruyere university applied sciences,switzerland,clarens,,http://www.lrguas.ch,zurich university applied sciences,switzerland,winterthur,,zhaw,0
2663,11018,31161,london business school,united kingdom,london,,http://www.london.edu/,cass business school city university london,united kingdom,london,,city,0
2693,11041,56876,louisiana college,united states,pineville,louisiana,http://www.lacollege.edu,louisiana state university,united states,baton rouge,louisiana,lsu,0
2740,11056,7060,loyola university maryland,united states,baltimore,maryland,http://www.loyola.edu,university maryland,united states,college park,maryland,umd,0
2746,11058,30008,loyola university chicago,united states,chicago,illinois,http://www.luc.edu,university chicago,united states,chicago,illinois,chicagobooth,0
2785,11362,8005,mansfield university pennsylvania,united states,mansfield,pennsylvania,http://www.mnsfld.edu,university pennsylvania,united states,philadelphia,pennsylvania,upenn,0
2788,11362,44912,mansfield university pennsylvania,united states,mansfield,pennsylvania,http://www.mnsfld.edu,university pennsylvania,united states,philadelphia,pennsylvania,upenn,0
2821,11452,12043,massey university wellington campus,new zealand,wellington,,http://www.massey.ac.nz/massey/contact/wellington-campus/en/wellington-campus_home.cfm,massey university,new zealand,palmerston north,manawatu,massey,0
2829,11454,12043,massey university albany campus,new zealand,north shore city,,http://www.massey.ac.nz,massey university,new zealand,palmerston north,manawatu,massey,0
2839,11460,51624,dublin city university mater dei institute education,ireland,dublin,,http://www.materdei.ie,university college dublin,ireland,dublin,,gmail,0
2842,11496,40966,mcgill university,canada,montreal,quebec,http://www.mcgill.ca,mcgill university,canada,montreal,qc,mcgill,0
2861,11542,56899,meiji university,japan,tokyo,,http://www.meiji.ac.jp,meiji university,japan,tokyo,,nifty,0
2870,11574,11108,merrimack college,united states,north andover,massachusetts,http://www.merrimack.edu,merrimack college,united states,north andover,massachusetts,merrimack,0
2890,11632,794,michigan jewish institute,united states,west bloomfield,michigan,http://www.mji.edu,university michigan,united states,ann arbor,michigan,umich,0
2918,11634,2796,michigan state university,united states,east lansing,michigan,http://www.msu.edu,michigan state university,united states,east lansing,michigan,msu,0
2926,11634,44606,michigan state university,united states,east lansing,michigan,http://www.msu.edu,michigan state university,united states,east lansing,michigan,msu,0
2943,11635,2796,michigan state university michigan state university detroit college law,united states,east lansing,michigan,http://www.law.msu.edu,michigan state university,united states,east lansing,michigan,msu,0
2946,11635,9811,michigan state university michigan state university detroit college law,united states,east lansing,michigan,http://www.law.msu.edu,university michigan,united states,ann arbor,michigan,umich,0
2975,11636,798,michigan technological university,united states,houghton,michigan,http://www.mtu.edu,university michigan,united states,ann arbor,michigan,umich,0
2987,11649,55490,middle georgia state college,united states,cochran,georgia,http://www.mgc.edu,university georgia,united states,athens,georgia,uga,0
2990,11649,501,middle georgia state college,united states,cochran,georgia,http://www.mgc.edu,georgia state university,united states,atlanta,georgia,gsu,0
3001,11672,1779,millersville university pennsylvania,united states,millersville,pennsylvania,http://www.millersville.edu/,university pennsylvania,united states,philadelphia,pennsylvania,upenn,0
3053,11930,56263,minnesota state university moorhead,united states,moorhead,minnesota,http://www.mnstate.edu,university minnesota,united states,minneapolis,minnesota,umn,0
3069,11956,46507,missouri baptist university,united states,saint louis,missouri,http://www.mobap.edu,university missouri,united states,columbia,missouri,missouri,0
3098,12041,28111,montana state university,united states,bozeman,montana,http://www.montana.edu,montana state university,united states,bozeman,montana,gmail,0
3153,12365,19485,nanyang technological university,singapore,singapore,,http://www.ntu.edu.sg,nanyang technological university,singapore,singapore,,ntu,0
3178,12420,57084,national chung cheng university,taiwan,chiayi,,http://www.ccu.edu.tw,national chung hsing university,taiwan,taichung,,nchu,0
3223,12517,18068,national taiwan normal university,taiwan,taipei,,http://www.ntnu.edu.tw,national taiwan university,taiwan,taipei,,ntu,0
3245,12521,57141,national taiwan university arts,taiwan,taipei,,http://www.ntua.edu.tw,national taiwan ocean university,taiwan,keelung city,,ntou,0
3249,12521,43442,national taiwan university arts,taiwan,taipei,,http://www.ntua.edu.tw,national taiwan university,taiwan,taipei,,ntu,0
3306,12632,54769,new mexico state university,united states,las cruces,new mexico,http://www.nmsu.edu,new mexico state university,united states,las cruces,new mexico,nmsu,0
3310,12635,6176,new york academy art,united states,new york,new york,http://www.nyaa.edu,new york university,united states,new york,new york,nyu,0
3325,12637,59460,new york college health professions,united states,syossets,new york,http://www.nycollege.edu,new york university,united states,new york,new york,nyu,0
3340,12637,37847,new york college health professions,united states,syossets,new york,http://www.nycollege.edu,city university new york city college,united states,new york,new york,cuny,0
3417,12642,2116,new york law school,united states,new york,new york,http://www.nyls.edu,baruch college city university new york,united states,new york,new york,cuny,0
3427,12643,54506,new york medical college,united states,valhalla,new york,http://www.nymc.edu,state university new york college old westbury,united states,old westbury,new york,oldwestbury,0
3431,12643,2895,new york medical college,united states,valhalla,new york,http://www.nymc.edu,university buffalo state university new york,united states,buffalo,new york,buffalo,0
3459,12643,2116,new york medical college,united states,valhalla,new york,http://www.nymc.edu,baruch college city university new york,united states,new york,new york,cuny,0
3468,12645,14171,new york university,united states,new york,new york,http://www.nyu.edu,baruch college city university new york / graduate center city university new york,united states,brooklyn,new york,verizon,0
3493,12645,5921,new york university,united states,new york,new york,http://www.nyu.edu,new york university,united states,new york,new york,nyu,0
3498,12645,33139,new york university,united states,new york,new york,http://www.nyu.edu,new paltz state university new york,united states,new paltz,new york,newpaltz,0
3512,12753,28343,nmims university,india,mumbai,maharashtra,http://www.nmims.edu,nmims university,india,mumbai,,nmims,0
3551,12770,43626,north carolina state university,united states,raleigh,north carolina,http://www.ncsu.edu,university north carolina chapel hill,united states,chapel hill,north carolina,msn,0
3572,12771,43626,north carolina wesleyan college,united states,rocky mount,north carolina,http://www.ncwc.edu,university north carolina chapel hill,united states,chapel hill,north carolina,msn,0
3632,12815,58037,nor rn alberta institute technology,canada,edmonton,alberta,http://www.nait.ca/,university alberta,canada,edmonton,alberta,ualberta,0
3640,12816,19644,nor rn arizona university,united states,flagstaff,arizona,http://www.nau.edu,university arizona,united states,tucson,arizona,arizona,0
3715,12895,31513,nottingham trent university,united kingdom,nottingham,,http://www.ntu.ac.uk,nottingham trent university,united kingdom,nottingham,,ntu,0
3720,12900,58148,nova sou astern university,united states,fort lauderdale,florida,http://www.nova.edu,nova sou astern university,united states,fort lauderdale,florida,nova,0
3750,13023,55700,ohio university,united states,athens,ohio,http://www.ohio.edu,ohio state university,united states,columbus,ohio,osumc,0
3772,13043,1194,oklahoma christian university,united states,oklahoma city,oklahoma,http://www.oc.edu,university oklahoma,united states,norman,oklahoma,ou,0
3797,13047,9424,oklahoma state university,united states,stillwater,oklahoma,http://www.okstate.edu,oklahoma state university,united states,stillwater,oklahoma,okstate,0
3804,13047,13879,oklahoma state university,united states,stillwater,oklahoma,http://www.okstate.edu,oklahoma state university,united states,stillwater,oklahoma,okstate,0
3809,13053,58001,old dominion university,united states,norfolk,virginia,http://www.odu.edu,old dominion university,united states,norfolk,virginia,odu,0
3843,13113,23855,oregon state university,united states,corvallis,oregon,http://www.oregonstate.edu,university oregon,united states,eugene,oregon,gmail,0
3851,13149,47165,osaka medical college,japan,takatsuki shi,osaka,http://www.osaka-med.ac.jp,osaka university,japan,minoh,osaka,gmail,0
3884,13226,56907,pace university,united states,new york,new york,http://www.pace.edu/,pace university,united states,new york,new york,pace,0
3896,13243,51362,school teacher education university applied sciences st. gallen,switzerland,st. gallen,,http://www.phsg.ch,university st. gallen,switzerland,st. gallen,,unisg,0
3897,13243,28814,school teacher education university applied sciences st. gallen,switzerland,st. gallen,,http://www.phsg.ch,university st. gallen,switzerland,st. gallen,,unisg,0
3903,13243,59884,school teacher education university applied sciences st. gallen,switzerland,st. gallen,,http://www.phsg.ch,university st. gallen,switzerland,st. gallen,,unisg,0
3923,13416,7224,peking union medical college,china,beijing,,http://pumc.edu.cn,peking university,china,beijing,,pku,0
3925,13416,37167,peking union medical college,china,beijing,,http://pumc.edu.cn,peking university,china,beijing,beijing,pku,0
3951,13431,14433,pepperdine university,united states,malibu,california,http://www.pepperdine.edu,pepperdine university,united states,los angeles,california,pepperdine,0
3954,13444,47613,perm national research polytechnic university,russian federation,perm,,http://www.pstu.ac.ru,national research university,russian federation,moscow,,inbox,0
3963,13581,59198,technical university milan,italy,milano,,http://www.polimi.it,politecnico di milano,italy,milano,delstat,polimi,0
3965,13581,56678,technical university milan,italy,milano,,http://www.polimi.it,politecnico di milano,italy,milan,michigan,polimi,0
3974,13673,53900,pontifical catholic university rio grande do sul,brazil,porto alegre,rio grande do sul,http://www.pucrs.br,unigranrio university do grande rio,brazil,niteroi,rio de janeiro,gmail,0
4029,13839,36083,queen margaret university edinburgh,united kingdom,edinburgh,,http://www.qmu.ac.uk,edinburgh university,united kingdom,edinburgh,,ed,0
4036,13859,38412,quinnipiac university,united states,hamden,connecticut,http://www.quinnipiac.edu,quinnipiac university,united states,hamden,connecticut,gmail,0
4051,13886,11130,rajiv gandhi indian institute management shillong,india,shillong,meghalaya,http://www.iimshillong.in/,indian institute management bangalore,india,bangalore,karnataka,ernet,0
4055,13965,35547,remington college colorado springs,united states,colorado springs,colorado,http://www.remingtoncollege.edu,university colorado colorado springs,united states,colorado springs,colorado,uccs,0
4068,13971,58499,renmin university china,china,beijing,,http://www.ruc.edu.cn,renmin university china,china,beijing,,126,0
4085,13981,24869,rwth aachen university,germany,aachen,,http://www.rwth-aachen.de,rwth aachen university,germany,aachen,,rwth-aachen,0
4086,13981,52614,rwth aachen university,germany,aachen,,http://www.rwth-aachen.de,rwth aachen university,germany,aachen,,hotmail,0
4125,14150,13085,rutgers state university new jersey camden campus,united states,camden,new jersey,http://www.camden.rutgers.edu,rutgers university,united states,newark,new jersey,rutgers,0
4137,14150,20076,rutgers state university new jersey camden campus,united states,camden,new jersey,http://www.camden.rutgers.edu,rutgers university,united states,camden,new jersey,rutgers,0
4147,14151,15796,rutgers state university new jersey new brunswick campus,united states,new brunswick,new jersey,http://nb.rutgers.edu,rutgers university,united states,princeton,new jersey,heckscher,0
4151,14151,1590,rutgers state university new jersey new brunswick campus,united states,new brunswick,new jersey,http://nb.rutgers.edu,rutgers university,united states,piscataway,new jersey,rutgers,0
4192,14152,3040,rutgers state university new jersey newark campus,united states,newark,new jersey,http://www.newark.rutgers.edu,rutgers university,united states,piscataway,new jersey,rutgers,0
4261,14391,7803,san diego state university,united states,san diego,california,http://www.sdsu.edu,san diego state university,united states,san diego,california,sdsu,0
4301,15168,27789,seoul national university,south korea,seoul,,http://www.useoul.edu/,seoul national university,south korea,seoul,,gmail,0
4316,15170,49797,seoul national university science technology,south korea,seoul,,http://www.seoultech.ac.kr/,seoul national university,south korea,seoul,,gmail,0
4322,15212,58401,shaanxi university science technology,china,xi an,shaanxi province,http://www.sust.edu.cn,huazhong university science technology,china,wuhan,,gmail,0
4345,15282,48255,shanxi university finance economics,china,taiyuan,shanxi province,http://www.sxufe.edu.cn/english/index.htm,jiangxi university finance and economics,china,nanchang,jiangxi,sina,0
4388,15440,17507,simon fraser university,canada,burnaby,british columbia,http://www.sfu.ca,simon fraser university,canada,vancouver,bc,sfu,0
4458,15601,13215,sou rn california institute architecture,united states,los angeles,california,http://www.sciarc.edu,university sou rn california,united states,culver city,california,usc,0
4463,15603,46699,sou rn california university health sciences,united states,whittier,california,http://www.scuhs.edu/,university sou rn california,united states,los angeles,california,usc,0
4508,15612,15865,sou rn illinois university edwardsville,united states,edwardsville,illinois,http://www.siue.edu,university illinois,united states,champaign,illinois,illinois,0
4517,15641,58358,sou rn utah university,united states,cedar city,utah,http://www.suu.edu,university utah,united states,salt lake city,utah,utah,0
4532,15653,40331,southwest minnesota state university,united states,marshall,minnesota,http://www.smsu.edu,university minnesota,united states,minneapolis,minnesota,umn,0
4545,15669,749,southwestern oklahoma state university,united states,weatherford,oklahoma,http://www.swosu.edu,oklahoma state university,united states,stillwater,oklahoma,okstate,0
4570,15724,8696,university manitoba st. andrew s college university manitoba,canada,winnipeg,manitoba,http://www.umanitoba.ca/colleges/st_andrews/,university manitoba,canada,winnipeg,mb,umanitoba,0
4640,15824,58082,state university new york system,united states,albany,new york,http://www.suny.edu/,new york life,united states,new york,new york,newyorklife,0
4641,15824,13739,state university new york system,united states,albany,new york,http://www.suny.edu/,stony brook university state university new york,united states,stony brook,new york,stonybrook,0
4643,15824,2225,state university new york system,united states,albany,new york,http://www.suny.edu/,state university new york empire state college,united states,saratoga springs,new york,esc,0
4661,15825,38662,state university new york binghamton,united states,binghamton,new york,http://www.binghamton.edu,university buffalo state university new york,united states,amherst,new york,gmail,0
4671,15825,56520,state university new york binghamton,united states,binghamton,new york,http://www.binghamton.edu,new york university,united states,new york,new york,nyu,0
4740,15827,56520,state university new york new paltz,united states,new paltz,new york,http://www.newpaltz.edu,new york university,united states,new york,new york,nyu,0
4771,15828,1248,state university new york college brockport,united states,brockport,new york,http://www.brockport.edu,university buffalo state university new york,united states,buffalo,new york,buffalo,0
4843,15830,51035,state university new york college cortland,united states,cortland,new york,http://www.cortland.edu,university albany state university new york,united states,albany,new york,gmail,0
